data_state,lic_type,standard_app_type,year,mean,median,count,count_over30days,pct_over30days,count_over60days,pct_over60days,count_over90days,pct_over90days,count_over120days,pct_over120days,count_over180days,pct_over180days,count_over1year,pct_over1year
AR,RN,Exam,2020,84,79.5,1082,1051,0.9713493530499075,795,0.7347504621072088,390,0.36044362292051757,113,0.1044362292051756,31,0.02865064695009242,1,9.242144177449168e-4
AR,RN,Exam,2021,87,84,1412,1400,0.9915014164305949,1191,0.8434844192634561,560,0.39660056657223797,121,0.08569405099150142,21,0.014872521246458924,0,0
AR,RN,Exam-retest,2020,70,55,270,252,0.9333333333333333,119,0.44074074074074077,59,0.21851851851851853,25,0.09259259259259259,9,0.03333333333333333,0,0
AR,RN,Exam-retest,2021,67,51,213,198,0.9295774647887324,69,0.323943661971831,29,0.13615023474178403,20,0.09389671361502347,10,0.046948356807511735,3,0.014084507042253521
AR,RN,Other,2021,73,73,2,2,1,1,0.5,1,0.5,0,0,0,0,0,0
AR,RN-Temp,Temporary,2020,43,42,1225,819,0.6685714285714286,230,0.18775510204081633,45,0.036734693877551024,22,0.017959183673469388,9,0.007346938775510204,0,0
AR,RN-Temp,Temporary,2021,40,42,895,515,0.5754189944134078,232,0.25921787709497207,49,0.054748603351955305,24,0.026815642458100558,6,0.0067039106145251395,0,0
CA,LPN,Endorsement,2020,110,84.5,432,372,0.8611111111111112,274,0.6342592592592593,197,0.45601851851851855,135,0.3125,68,0.1574074074074074,15,0.034722222222222224
CA,LPN,Endorsement,2021,121,78,548,444,0.8102189781021898,342,0.6240875912408759,238,0.4343065693430657,185,0.3375912408759124,103,0.18795620437956204,33,0.060218978102189784
CA,LPN,Endorsement,Pending as of 01/04/22,229,224,658,658,1,658,1,658,1,613,0.9316109422492401,430,0.6534954407294833,8,0.0121580547112462
CA,LPN,Exam,2020,103,77,4765,4563,0.957607555089192,3139,0.6587618048268625,1880,0.3945435466946485,1153,0.24197271773347323,564,0.11836306400839454,107,0.022455403987408185
CA,LPN,Exam,2021,115,83,3588,3432,0.9565217391304348,2467,0.6875696767001115,1598,0.44537346711259757,1017,0.2834448160535117,513,0.14297658862876253,141,0.039297658862876256
CA,LPN,Exam,Pending as of 01/04/22,228,225,2262,2262,1,2262,1,2262,1,2025,0.8952254641909815,1489,0.6582670203359858,19,0.008399646330680813
CA,LPN,Exam-retest,2020,270,243,674,671,0.9955489614243324,661,0.9807121661721068,642,0.9525222551928784,589,0.8738872403560831,445,0.6602373887240356,164,0.2433234421364985
CA,LPN,Exam-retest,2021,331,281,725,724,0.9986206896551724,716,0.9875862068965517,699,0.9641379310344828,664,0.9158620689655173,543,0.7489655172413793,245,0.33793103448275863
CA,LPN,Exam-retest,Pending as of 01/04/22,244,251,671,671,1,671,1,671,1,623,0.9284649776453056,509,0.7585692995529061,8,0.011922503725782414
CA,RN,Endorsement,2020,104,82,11920,11488,0.963758389261745,8691,0.7291107382550336,4831,0.4052852348993289,2928,0.24563758389261744,1373,0.11518456375838926,179,0.015016778523489933
CA,RN,Endorsement,2021,129,103,10668,9837,0.9221034870641169,8006,0.7504686914135733,5990,0.5614923134608174,4479,0.41985376827896514,2344,0.2197225346831646,276,0.025871766029246346
CA,RN,Endorsement,Pending as of 01/04/22,221,214,9133,9133,1,9133,1,9133,1,8149,0.8922588415635607,5543,0.606919960582503,26,0.002846819226979087
CA,RN,Exam,2020,98,86,12135,11937,0.9836835599505562,9918,0.8173053152039556,5455,0.4495261639884631,2300,0.1895344046147507,623,0.05133910177173465,139,0.011454470539761022
CA,RN,Exam,2021,115,96,10175,10107,0.9933169533169534,9184,0.9026044226044226,5824,0.5723832923832923,2374,0.23331695331695332,871,0.0856019656019656,262,0.02574938574938575
CA,RN,Exam,Pending as of 01/04/22,231,228,3155,3155,1,3155,1,3155,1,2951,0.9353407290015848,2151,0.6817749603803487,21,0.006656101426307449
CA,RN-Temp,Temporary,2020,33,25,3381,1200,0.354924578527063,457,0.13516711032238982,168,0.049689440993788817,74,0.02188701567583555,12,0.00354924578527063,0,0
CA,RN-Temp,Temporary,2021,30,19,3797,1404,0.3697656044245457,542,0.1427442717935212,213,0.05609691861996313,90,0.0237029233605478,24,0.006320779562812747,0,0
CA,RN-Temp,Temporary,Pending as of 01/04/22,217,208,3202,3202,1,3202,1,3202,1,2800,0.8744534665833854,1897,0.5924422236102436,5,0.001561524047470331
CO,LPN,Endorsement,2020,27,9,223,48,0.21524663677130046,23,0.1031390134529148,16,0.07174887892376682,14,0.06278026905829596,6,0.026905829596412557,0,0
CO,LPN,Endorsement,2021,45,19,149,48,0.3221476510067114,31,0.2080536912751678,22,0.1476510067114094,14,0.09395973154362416,6,0.040268456375838924,1,0.006711409395973154
CO,LPN,Endorsement,Pending as of 09/27/21,93,93,28,22,0.7857142857142857,18,0.6428571428571429,15,0.5357142857142857,7,0.25,4,0.14285714285714285,0,0
CO,LPN,Exam,2020,64,36.5,366,234,0.639344262295082,116,0.31693989071038253,66,0.18032786885245902,48,0.13114754098360656,29,0.07923497267759563,4,0.01092896174863388
CO,LPN,Exam,2021,62,42,266,185,0.6954887218045113,72,0.2706766917293233,39,0.14661654135338345,30,0.11278195488721804,15,0.05639097744360902,1,0.0037593984962406013
CO,LPN,Exam,Pending as of 09/27/21,85,61,109,75,0.6880733944954128,55,0.5045871559633027,39,0.3577981651376147,28,0.25688073394495414,16,0.14678899082568808,0,0
CO,LPN,Unknown,Pending as of 09/27/21,215,215,1,1,1,1,1,1,1,1,1,1,1,0,0
CO,LPN-Temp,Temporary,2020,5,2,162,4,0.024691358024691357,0,0,0,0,0,0,0,0,0,0
CO,LPN-Temp,Temporary,2021,7,2,49,2,0.04081632653061224,1,0.02040816326530612,1,0.02040816326530612,0,0,0,0,0,0
CO,LPN-Temp,Temporary,Pending as of 09/27/21,189,189,1,1,1,1,1,1,1,1,1,1,1,0,0
CO,RN,Endorsement,2020,26,9,3558,704,0.19786396852164137,385,0.10820685778527263,243,0.06829679595278246,163,0.04581225407532322,97,0.027262507026419337,3,8.431703204047217e-4
CO,RN,Endorsement,2021,36,19,3153,870,0.2759276879162702,416,0.13193783698065334,273,0.08658420551855375,202,0.06406596891849033,108,0.03425309229305423,9,0.0028544243577545195
CO,RN,Endorsement,Pending as of 09/27/21,90,59,489,315,0.6441717791411042,241,0.49284253578732107,204,0.4171779141104294,167,0.34151329243353784,99,0.20245398773006135,0,0
CO,RN,Exam,2020,54,36,2478,1558,0.6287328490718321,528,0.21307506053268765,316,0.1275221953188055,204,0.08232445520581114,103,0.041565778853914444,25,0.010088781275221953
CO,RN,Exam,2021,75,42,2335,1761,0.7541755888650964,553,0.23683083511777303,334,0.1430406852248394,248,0.10620985010706638,184,0.07880085653104925,88,0.037687366167023555
CO,RN,Exam,Pending as of 09/27/21,90,89,668,516,0.7724550898203593,409,0.6122754491017964,329,0.49251497005988026,220,0.32934131736526945,60,0.08982035928143713,0,0
CO,RN,Unknown,2021,164,164,1,1,1,1,1,1,1,1,1,0,0,0,0
CO,RN-Temp,Temporary,2020,3,1,617,5,0.008103727714748784,2,0.0032414910858995136,1,0.0016207455429497568,0,0,0,0,0,0
CO,RN-Temp,Temporary,2021,5,1,187,2,0.0106951871657754,1,0.0053475935828877,1,0.0053475935828877,1,0.0053475935828877,0,0,0,0
CO,RN-Temp,Temporary,Pending as of 09/27/21,250,246,4,4,1,4,1,4,1,4,1,4,1,0,0
CT,LPN,Unknown,2020,95,52,565,411,0.727433628318584,255,0.45132743362831856,170,0.3008849557522124,114,0.20176991150442478,68,0.12035398230088495,17,0.03008849557522124
CT,LPN,Unknown,2021,119,79,399,352,0.8822055137844611,242,0.606516290726817,172,0.43107769423558895,132,0.3308270676691729,73,0.18295739348370926,17,0.042606516290726815
CT,LPN,Unknown,Pending as of 11/04/21,164,175,325,325,1,309,0.9507692307692308,265,0.8153846153846154,216,0.6646153846153846,115,0.35384615384615387,0,0
CT,LPN-Temp,Temporary,2020,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
CT,LPN-Temp,Temporary,2021,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
CT,LPN-Temp,Temporary,Pending as of 11/04/21,102,51,3,3,1,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,0,0
CT,RN,Unknown,2020,44,19,9854,4244,0.43068804546377104,2560,0.2597929774710777,1467,0.1488735538867465,812,0.08240308504160747,337,0.034199309924903595,69,0.007002232595900142
CT,RN,Unknown,2021,50,22,7574,3289,0.4342487457090045,1954,0.25798785318193823,1087,0.14351729601267493,617,0.08146289939265909,315,0.041589648798521256,89,0.011750726168471086
CT,RN,Unknown,Pending as of 11/04/21,139,127,1554,1554,1,1343,0.8642213642213642,1001,0.6441441441441441,815,0.5244530244530244,432,0.277992277992278,0,0
CT,Unknown,Unknown,2021,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
HI,LPN,Endorsement,2021,46,46,51,35,0.6862745098039216,13,0.2549019607843137,6,0.11764705882352941,2,0.0392156862745098,0,0,0,0
HI,LPN,Endorsement,Pending as of 11/19/21,134,121,43,43,1,40,0.9302325581395349,30,0.6976744186046512,22,0.5116279069767442,8,0.18604651162790697,0,0
HI,LPN,Exam,2021,79,82.5,8,7,0.875,7,0.875,3,0.375,1,0.125,0,0,0,0
HI,LPN,Exam,Pending as of 11/19/21,160,158,115,115,1,113,0.9826086956521739,98,0.8521739130434782,71,0.6173913043478261,47,0.40869565217391307,0,0
HI,LPN,Renewal,2021,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
HI,RN,Endorsement,2021,46,41,1450,827,0.5703448275862069,524,0.36137931034482756,249,0.17172413793103447,80,0.05517241379310345,2,0.001379310344827586,0,0
HI,RN,Endorsement,Pending as of 11/19/21,126,94,1012,1012,1,990,0.9782608695652174,585,0.5780632411067194,370,0.36561264822134387,237,0.2341897233201581,0,0
HI,RN,Exam,2021,88,84,237,230,0.9704641350210971,194,0.8185654008438819,102,0.43037974683544306,37,0.15611814345991562,1,0.004219409282700422,0,0
HI,RN,Exam,Pending as of 11/19/21,162,164.5,384,384,1,370,0.9635416666666666,322,0.8385416666666666,264,0.6875,167,0.4348958333333333,0,0
HI,RN,Reinstatement,2021,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0
HI,RN,Reinstatement,Pending as of 11/19/21,246,246,1,1,1,1,1,1,1,1,1,1,1,0,0
HI,RN,Renewal,2021,1,0,117,2,0.017094017094017096,0,0,0,0,0,0,0,0,0,0
IA,LPN,Endorsement,2020,79,49,87,55,0.632183908045977,35,0.40229885057471265,23,0.26436781609195403,15,0.1724137931034483,11,0.12643678160919541,2,0.022988505747126436
IA,LPN,Endorsement,2021,68,45,63,46,0.7301587301587301,22,0.3492063492063492,14,0.2222222222222222,6,0.09523809523809523,5,0.07936507936507936,0,0
IA,LPN,Endorsement,Pending as of 10/20/21,113,84,59,57,0.9661016949152542,38,0.6440677966101694,28,0.4745762711864407,22,0.3728813559322034,12,0.2033898305084746,0,0
IA,LPN,Exam,2020,78,62,673,628,0.9331352154531947,353,0.524517087667162,154,0.2288261515601783,81,0.12035661218424963,32,0.0475482912332838,8,0.01188707280832095
IA,LPN,Exam,2021,71,56,576,520,0.9027777777777778,258,0.4479166666666667,108,0.1875,52,0.09027777777777778,24,0.041666666666666664,5,0.008680555555555556
IA,LPN,Exam,Pending as of 10/20/21,151,146,89,86,0.9662921348314607,77,0.8651685393258427,66,0.7415730337078652,55,0.6179775280898876,26,0.29213483146067415,0,0
IA,LPN,Exam-retest,2020,230,179,33,33,1,33,1,32,0.9696969696969697,27,0.8181818181818182,16,0.48484848484848486,6,0.18181818181818182
IA,LPN,Exam-retest,2021,208,168,26,26,1,26,1,24,0.9230769230769231,17,0.6538461538461539,12,0.46153846153846156,4,0.15384615384615385
IA,LPN,Exam-retest,Pending as of 10/20/21,177,163,13,13,1,13,1,11,0.8461538461538461,11,0.8461538461538461,4,0.3076923076923077,0,0
IA,LPN,Reinstatement,2020,94,58,87,62,0.7126436781609196,43,0.4942528735632184,26,0.2988505747126437,22,0.25287356321839083,14,0.16091954022988506,2,0.022988505747126436
IA,LPN,Reinstatement,2021,106,60,84,61,0.7261904761904762,42,0.5,32,0.38095238095238093,26,0.30952380952380953,17,0.20238095238095238,0,0
IA,LPN,Reinstatement,Pending as of 10/20/21,174,167,23,22,0.9565217391304348,20,0.8695652173913043,18,0.782608695652174,17,0.7391304347826086,11,0.4782608695652174,0,0
IA,LPN,Renewal,2020,2,0,2342,42,0.017933390264730998,2,8.539709649871904e-4,2,8.539709649871904e-4,2,8.539709649871904e-4,2,8.539709649871904e-4,1,4.269854824935952e-4
IA,LPN,Renewal,2021,3,0,1847,52,0.028153762858689767,17,0.009204114780725501,9,0.004872766648619383,6,0.0032485110990795887,5,0.0027070925825663237,0,0
IA,RN,Endorsement,2020,68,41,1033,660,0.6389157792836399,349,0.3378509196515005,224,0.21684414327202323,153,0.14811229428848016,81,0.07841239109390126,6,0.005808325266214908
IA,RN,Endorsement,2021,73,44,969,645,0.6656346749226006,360,0.3715170278637771,233,0.24045407636738905,169,0.17440660474716202,95,0.09803921568627451,5,0.005159958720330237
IA,RN,Endorsement,Pending as of 10/20/21,130,106,485,462,0.9525773195876288,358,0.7381443298969073,282,0.5814432989690722,223,0.45979381443298967,143,0.2948453608247423,0,0
IA,RN,Exam,2020,82,67,1941,1833,0.9443585780525502,1136,0.5852653271509531,516,0.26584234930448225,269,0.13858835651725915,113,0.05821741370427615,20,0.010303967027305513
IA,RN,Exam,2021,81,66,1674,1589,0.9492234169653524,963,0.5752688172043011,447,0.2670250896057348,193,0.11529271206690561,78,0.04659498207885305,18,0.010752688172043012
IA,RN,Exam,Pending as of 10/20/21,144,135,300,296,0.9866666666666667,271,0.9033333333333333,231,0.77,167,0.5566666666666666,83,0.27666666666666667,0,0
IA,RN,Exam-retest,2020,189,154,206,206,1,205,0.9951456310679612,194,0.941747572815534,151,0.7330097087378641,86,0.4174757281553398,16,0.07766990291262135
IA,RN,Exam-retest,2021,179,142.5,174,174,1,174,1,160,0.9195402298850575,117,0.6724137931034483,58,0.3333333333333333,13,0.07471264367816093
IA,RN,Exam-retest,Pending as of 10/20/21,162,161,104,104,1,104,1,98,0.9423076923076923,76,0.7307692307692307,30,0.28846153846153844,0,0
IA,RN,Reinstatement,2020,78,42,397,249,0.6272040302267002,152,0.38287153652392947,111,0.2795969773299748,85,0.2141057934508816,44,0.11083123425692695,1,0.0025188916876574307
IA,RN,Reinstatement,2021,89,46,329,223,0.6778115501519757,124,0.3768996960486322,94,0.2857142857142857,74,0.22492401215805471,49,0.14893617021276595,2,0.0060790273556231
IA,RN,Reinstatement,Pending as of 10/20/21,131,121,61,58,0.9508196721311475,50,0.819672131147541,38,0.6229508196721312,31,0.5081967213114754,20,0.32786885245901637,0,0
IA,RN,Renewal,2020,1,0,16118,124,0.0076932621913388755,15,9.306365554038963e-4,7,4.3429705918848494e-4,5,3.102121851346321e-4,4,2.481697481077057e-4,2,1.2408487405385284e-4
IA,RN,Renewal,2021,2,0,12862,208,0.016171668480796143,26,0.002021458560099518,17,0.001321722904680454,10,7.774840615767377e-4,7,5.442388431037163e-4,2,1.5549681231534753e-4
IA,RN,Renewal,Pending as of 10/20/21,27,27,1,0,0,0,0,0,0,0,0,0,0,0,0
IL,LPN,Endorsement,2020,68,33,272,143,0.5257352941176471,92,0.3382352941176471,58,0.21323529411764705,42,0.15441176470588236,27,0.09926470588235294,5,0.01838235294117647
IL,LPN,Endorsement,2021,69,33,267,143,0.5355805243445693,76,0.2846441947565543,58,0.21722846441947566,43,0.16104868913857678,24,0.0898876404494382,6,0.02247191011235955
IL,LPN,Exam,2020,92,70,1184,1118,0.9442567567567568,752,0.6351351351351351,348,0.2939189189189189,212,0.17905405405405406,112,0.0945945945945946,23,0.019425675675675675
IL,LPN,Exam,2021,99,63,924,872,0.9437229437229437,500,0.5411255411255411,266,0.2878787878787879,181,0.1958874458874459,117,0.1266233766233766,30,0.032467532467532464
IL,RN,Endorsement,2020,62,27,5620,2607,0.46387900355871886,1712,0.30462633451957294,1227,0.21832740213523133,879,0.15640569395017795,492,0.08754448398576513,80,0.014234875444839857
IL,RN,Endorsement,2021,65,30,5103,2511,0.49206349206349204,1476,0.2892416225749559,972,0.19047619047619047,706,0.13834999020184205,407,0.0797570056829316,122,0.02390750538898687
IL,RN,Exam,2020,128,93,8166,8043,0.9849375459221161,6771,0.8291697281410727,4291,0.5254714670585354,2667,0.3265980896399706,1404,0.1719324026451139,398,0.04873867254469753
IL,RN,Exam,2021,142,88,6825,6746,0.9884249084249084,5436,0.7964835164835165,3301,0.4836630036630037,2047,0.2999267399267399,1258,0.18432234432234432,593,0.08688644688644688
IN,LPN,Endorsement,2020,71,38.5,360,205,0.5694444444444444,126,0.35,75,0.20833333333333334,53,0.14722222222222223,37,0.10277777777777777,12,0.03333333333333333
IN,LPN,Endorsement,2021,85,48.5,214,129,0.602803738317757,93,0.43457943925233644,64,0.29906542056074764,49,0.22897196261682243,33,0.1542056074766355,4,0.018691588785046728
IN,LPN,Endorsement,Pending as of 10/07/21,129,114,159,139,0.8742138364779874,113,0.710691823899371,90,0.5660377358490566,77,0.48427672955974843,50,0.31446540880503143,0,0
IN,LPN,Exam,2020,96,80,507,494,0.9743589743589743,368,0.7258382642998028,186,0.3668639053254438,104,0.20512820512820512,36,0.07100591715976332,8,0.015779092702169626
IN,LPN,Exam,2021,95,77,417,407,0.9760191846522782,294,0.7050359712230215,140,0.33573141486810554,74,0.1774580335731415,32,0.07673860911270983,7,0.016786570743405275
IN,LPN,Exam,Pending as of 10/07/21,97,76,224,204,0.9107142857142857,132,0.5892857142857143,90,0.4017857142857143,66,0.29464285714285715,33,0.14732142857142858,0,0
IN,LPN,Reinstatement,Pending as of 10/07/21,146,137.5,22,22,1,18,0.8181818181818182,16,0.7272727272727273,13,0.5909090909090909,7,0.3181818181818182,0,0
IN,LPN-Temp,Temporary,2020,51,23,95,38,0.4,20,0.21052631578947367,13,0.1368421052631579,13,0.1368421052631579,9,0.09473684210526316,0,0
IN,LPN-Temp,Temporary,2021,61,17,29,12,0.41379310344827586,7,0.2413793103448276,5,0.1724137931034483,5,0.1724137931034483,4,0.13793103448275862,1,0.034482758620689655
IN,LPN-Temp,Temporary,Pending as of 10/07/21,121,115.5,24,23,0.9583333333333334,18,0.75,14,0.5833333333333334,11,0.4583333333333333,6,0.25,0,0
IN,RN,Endorsement,2020,72,47,4266,2788,0.653539615564932,1680,0.39381153305203936,1013,0.23745897796530707,702,0.16455696202531644,377,0.08837318330989218,51,0.011954992967651195
IN,RN,Endorsement,2021,76,41,2307,1376,0.5964456003467707,866,0.37537928045080193,591,0.25617685305591675,424,0.18378846987429562,259,0.11226701343736455,44,0.01907238838318162
IN,RN,Endorsement,Pending as of 10/07/21,112,86,1360,1112,0.8176470588235294,841,0.6183823529411765,666,0.48970588235294116,538,0.39558823529411763,348,0.25588235294117645,0,0
IN,RN,Exam,2020,108,99,3746,3686,0.9839829151094501,3193,0.8523758675920983,2220,0.592632140950347,1253,0.33449012279765084,223,0.0595301655098772,16,0.004271222637479978
IN,RN,Exam,2021,100,95,3482,3400,0.9764503159103963,2809,0.8067202757036186,1921,0.5516944284893739,879,0.252441125789776,141,0.040493968983342905,16,0.004595060310166571
IN,RN,Exam,Pending as of 10/07/21,96,59.5,998,860,0.8617234468937875,497,0.49799599198396793,405,0.405811623246493,310,0.3106212424849699,199,0.19939879759519039,0,0
IN,RN,Reinstatement,Pending as of 10/07/21,120,99.5,46,41,0.8913043478260869,30,0.6521739130434783,24,0.5217391304347826,22,0.4782608695652174,10,0.21739130434782608,0,0
IN,RN,Renewal,Pending as of 10/07/21,78,78.5,2,1,0.5,1,0.5,1,0.5,1,0.5,0,0,0,0
IN,RN-Temp,Temporary,2020,44,21,857,317,0.36989498249708286,167,0.19486581096849476,99,0.11551925320886815,73,0.08518086347724621,43,0.050175029171528586,8,0.009334889148191364
IN,RN-Temp,Temporary,2021,43,18,536,172,0.3208955223880597,88,0.16417910447761194,59,0.11007462686567164,43,0.08022388059701492,28,0.05223880597014925,6,0.011194029850746268
IN,RN-Temp,Temporary,Pending as of 10/07/21,97,59,199,151,0.7587939698492462,97,0.48743718592964824,80,0.4020100502512563,65,0.32663316582914576,39,0.19597989949748743,0,0
KY,LPN,Endorsement,2020,82,49,145,103,0.7103448275862069,65,0.4482758620689655,51,0.35172413793103446,42,0.2896551724137931,15,0.10344827586206896,0,0
KY,LPN,Endorsement,2021,78,27,196,91,0.4642857142857143,64,0.32653061224489793,50,0.25510204081632654,43,0.2193877551020408,27,0.1377551020408163,11,0.05612244897959184
KY,LPN,Exam,2020,92,71,678,633,0.9336283185840708,414,0.6106194690265486,221,0.32595870206489674,123,0.18141592920353983,57,0.084070796460177,13,0.019174041297935103
KY,LPN,Exam,2021,89,63,533,453,0.849906191369606,273,0.5121951219512195,150,0.28142589118198874,103,0.19324577861163228,53,0.09943714821763602,14,0.02626641651031895
KY,LPN-Provisional,Temporary,2020,41,34,642,351,0.5467289719626168,110,0.17133956386292834,33,0.0514018691588785,17,0.0264797507788162,9,0.014018691588785047,1,0.001557632398753894
KY,LPN-Provisional,Temporary,2021,34,23,520,208,0.4,71,0.13653846153846153,32,0.06153846153846154,17,0.032692307692307694,8,0.015384615384615385,1,0.0019230769230769232
KY,LPN-Temp,Temporary,2020,40,10,63,19,0.30158730158730157,11,0.1746031746031746,7,0.1111111111111111,3,0.047619047619047616,3,0.047619047619047616,1,0.015873015873015872
KY,LPN-Temp,Temporary,2021,34,16,89,28,0.3146067415730337,14,0.15730337078651685,8,0.0898876404494382,7,0.07865168539325842,1,0.011235955056179775,0,0
KY,RN,Endorsement,2020,73,44,1465,929,0.6341296928327645,543,0.3706484641638225,401,0.2737201365187713,282,0.1924914675767918,117,0.07986348122866894,16,0.010921501706484642
KY,RN,Endorsement,2021,71,28,1552,730,0.47036082474226804,457,0.29445876288659795,353,0.22744845360824742,286,0.18427835051546393,163,0.10502577319587629,47,0.030283505154639175
KY,RN,Exam,2020,92,81,3125,2997,0.95904,2187,0.69984,1281,0.40992,590,0.1888,177,0.05664,32,0.01024
KY,RN,Exam,2021,96,80,2507,2367,0.9441563621858795,1755,0.7000398883127243,951,0.37933785400877545,430,0.17151974471479856,172,0.06860789788591942,48,0.019146390107698443
KY,RN-Provisional,Temporary,2020,48,42,3013,1950,0.6471954862263525,930,0.30866246266179886,229,0.0760039827414537,59,0.019581812147361433,25,0.00829737802854298,0,0
KY,RN-Provisional,Temporary,2021,46,40,2439,1507,0.6178761787617876,676,0.2771627716277163,129,0.05289052890528905,62,0.025420254202542025,27,0.01107011070110701,3,0.0012300123001230013
KY,RN-Temp,Temporary,2020,40,13,735,210,0.2857142857142857,110,0.14965986394557823,79,0.10748299319727891,60,0.08163265306122448,37,0.050340136054421766,10,0.013605442176870748
KY,RN-Temp,Temporary,2021,34,12,626,168,0.268370607028754,94,0.1501597444089457,59,0.09424920127795527,42,0.0670926517571885,15,0.023961661341853034,4,0.006389776357827476
LA,LPN,Endorsement,2020,85,52,119,79,0.6638655462184874,53,0.44537815126050423,37,0.31092436974789917,29,0.24369747899159663,17,0.14285714285714285,3,0.025210084033613446
LA,LPN,Endorsement,2021,90,51,85,59,0.6941176470588235,35,0.4117647058823529,23,0.27058823529411763,19,0.2235294117647059,10,0.11764705882352941,2,0.023529411764705882
LA,LPN,Endorsement,Pending as of 10/06/21,118,104.5,46,40,0.8695652173913043,34,0.7391304347826086,27,0.5869565217391305,19,0.41304347826086957,12,0.2608695652173913,0,0
LA,LPN,Exam,2020,98,77,959,925,0.9645464025026069,656,0.6840458811261731,370,0.3858185610010427,187,0.19499478623566216,80,0.08342022940563086,25,0.026068821689259645
LA,LPN,Exam,2021,99,75,743,722,0.971736204576043,539,0.7254374158815612,248,0.33378196500672946,123,0.1655450874831763,64,0.08613728129205922,17,0.02288021534320323
LA,LPN,Exam,Pending as of 10/06/21,120,136,209,181,0.8660287081339713,162,0.7751196172248804,129,0.6172248803827751,121,0.5789473684210527,26,0.12440191387559808,0,0
LA,LPN,Exam-retest,2020,113,80,146,139,0.952054794520548,96,0.6575342465753424,68,0.4657534246575342,46,0.3150684931506849,26,0.1780821917808219,3,0.02054794520547945
LA,LPN,Exam-retest,2021,124,72,99,99,1,63,0.6363636363636364,37,0.37373737373737376,28,0.2828282828282828,19,0.1919191919191919,6,0.06060606060606061
LA,LPN,Exam-retest,Pending as of 10/06/21,117,85,105,92,0.8761904761904762,75,0.7142857142857143,51,0.4857142857142857,42,0.4,26,0.24761904761904763,0,0
MA,LPN,Endorsement,2020,51,26,257,114,0.44357976653696496,66,0.25680933852140075,42,0.16342412451361868,26,0.10116731517509728,16,0.0622568093385214,1,0.0038910505836575876
MA,LPN,Endorsement,2021,61,31,253,128,0.5059288537549407,62,0.2450592885375494,47,0.1857707509881423,39,0.1541501976284585,20,0.07905138339920949,3,0.011857707509881422
MA,LPN,Endorsement,Pending as of 10/15/21,109,94,177,168,0.9491525423728814,128,0.7231638418079096,97,0.5480225988700564,51,0.288135593220339,32,0.1807909604519774,0,0
MA,LPN,Exam,2020,75,53,721,593,0.8224687933425797,309,0.42857142857142855,155,0.21497919556171982,103,0.14285714285714285,50,0.06934812760055478,11,0.015256588072122053
MA,LPN,Exam,2021,74,47,469,348,0.7420042643923241,158,0.3368869936034115,93,0.19829424307036247,78,0.16631130063965885,46,0.09808102345415778,7,0.014925373134328358
MA,LPN,Exam,Pending as of 10/15/21,99,91,289,280,0.9688581314878892,223,0.7716262975778547,156,0.5397923875432526,62,0.21453287197231835,32,0.11072664359861592,0,0
MA,LPN-Temp,Temporary,2020,4,1,857,9,0.010501750291715286,8,0.009334889148191364,6,0.007001166861143524,6,0.007001166861143524,3,0.003500583430571762,0,0
